Quarter,Revenue,Net Income
31-03-2005,1902.00,78
30-06-2005,1753.00,52
30-09-2005,1858.00,30
31-12-2005,2977.00,199
31-03-2006,2279.00,51
30-06-2006,2139.00,22
30-09-2006,2307.00,19
31-12-2006,3986.00,98
31-03-2007,3015.00,111
30-06-2007,2886.00,78
30-09-2007,3262.00,80
31-12-2007,5672.00,207
31-03-2008,4135.00,143
30-06-2008,4063.00,158
30-09-2008,4264.00,118
31-12-2008,6704.00,226
31-03-2009,4889.00,177
30-06-2009,4651.00,142
30-09-2009,5449.00,199
31-12-2009,9520.00,384
31-03-2010,7131.00,299
30-06-2010,6566.00,207
30-09-2010,7560.00,231
31-12-2010,12947.00,415
31-03-2011,9857.00,201
30-06-2011,9913.00,191
30-09-2011,10876.00,63
31-12-2011,17431.00,176
31-03-2012,13185.00,130
30-06-2012,12834.00,7
30-09-2012,13806.00,-274
31-12-2012,21268.00,98
31-03-2013,16070.00,82
30-06-2013,15704.00,-7
30-09-2013,17092.00,-41
31-12-2013,25586.00,240
31-03-2014,19741.00,108
30-06-2014,19340.00,-126
30-09-2014,20579.00,-437
31-12-2014,29328.00,214
31-03-2015,22717.00,-57
30-06-2015,23185.00,92
30-09-2015,25358.00,79
31-12-2015,35746.00,482
31-03-2016,29128.00,513
30-06-2016,30404.00,857
30-09-2016,32714.00,252
31-12-2016,43741.00,749
31-03-2017,35714.00,724
30-06-2017,37955.00,197
30-09-2017,43744.00,256
31-12-2017,60453.00,"1,856"
31-03-2018,51042.00,"1,629"
30-06-2018,52886.00,"2,534"
30-09-2018,56576.00,"2,883"
31-12-2018,72383.00,"3,027"
31-03-2019,59700.00,"3,561"
30-06-2019,63404.00,"2,625"
30-09-2019,69981.00,"2,134"
31-12-2019,87437.00,"3,268"
31-03-2020,75452.00,"2,535"
,,
,,
